feature,bin,woe,points
fico,"(-inf, 667.0]",-0.344,34.6
fico,"(667.0, 677.0]",-0.238,37.6
fico,"(677.0, 692.0]",-0.109,41.1
fico,"(692.0, 702.0]",0.054,45.7
fico,"(702.0, 722.0]",0.266,51.5
fico,"(722.0, inf]",0.712,63.9
dti_eff,"(-inf, 9.53]",0.379,51.1
dti_eff,"(9.53, 13.74]",0.25,48.7
dti_eff,"(13.74, 17.48]",0.108,46.1
dti_eff,"(17.48, 21.43]",-0.019,43.8
dti_eff,"(21.43, 26.5]",-0.167,41.1
dti_eff,"(26.5, inf]",-0.419,36.5
payment_to_income,"(-inf, 0.0391]",0.472,57.9
payment_to_income,"(0.0391, 0.0569]",0.265,51.9
payment_to_income,"(0.0569, 0.0741]",0.098,47.0
payment_to_income,"(0.0741, 0.0939]",-0.066,42.2
payment_to_income,"(0.0939, 0.121]",-0.25,36.9
payment_to_income,"(0.121, inf]",-0.36,33.7
loan_to_income,"(-inf, 0.103]",0.49,40.4
loan_to_income,"(0.103, 0.154]",0.347,41.5
loan_to_income,"(0.154, 0.202]",0.176,42.8
loan_to_income,"(0.202, 0.261]",-0.008,44.2
loan_to_income,"(0.261, 0.335]",-0.254,46.1
loan_to_income,"(0.335, inf]",-0.523,48.2
annual_inc_eff,"(-inf, 40000.0]",-0.195,42.7
annual_inc_eff,"(40000.0, 50000.0]",-0.137,43.1
annual_inc_eff,"(50000.0, 64000.0]",-0.076,43.6
annual_inc_eff,"(64000.0, 80000.0]",0.017,44.3
annual_inc_eff,"(80000.0, 103020.0]",0.155,45.3
annual_inc_eff,"(103020.0, inf]",0.325,46.6
installment,"(-inf, 202.068]",0.331,44.2
installment,"(202.068, 298.23]",0.015,44.2
installment,"(298.23, 377.19]",-0.008,44.2
installment,"(377.19, 495.86]",-0.105,44.2
installment,"(495.86, 667.06]",-0.131,44.1
installment,"(667.06, inf]",-0.057,44.2
loan_amnt,"(-inf, 6000.0]",0.298,40.1
loan_amnt,"(6000.0, 10000.0]",0.184,41.6
loan_amnt,"(10000.0, 12000.0]",-0.062,45.0
loan_amnt,"(12000.0, 16800.0]",-0.115,45.7
loan_amnt,"(16800.0, 23600.0]",-0.176,46.6
loan_amnt,"(23600.0, inf]",-0.17,46.5
revol_util,"(-inf, 29.7]",0.279,41.6
revol_util,"(29.7, 43.8]",0.1,43.2
revol_util,"(43.8, 55.6]",-0.004,44.2
revol_util,"(55.6, 67.1]",-0.06,44.7
revol_util,"(67.1, 80.1]",-0.114,45.2
revol_util,"(80.1, inf]",-0.162,45.7
revol_util,Missing,-0.176,45.8
term_months,36.0,0.334,54.9
term_months,60.0,-0.727,20.9
home_ownership,MORTGAGE,0.148,48.2
home_ownership,OWN,-0.036,43.2
home_ownership,Other,-0.094,41.6
home_ownership,RENT,-0.155,39.9
purpose,Other,-0.039,43.4
purpose,car,0.376,51.7
purpose,credit_card,0.213,48.4
purpose,debt_consolidation,-0.079,42.6
purpose,home_improvement,0.133,46.8
purpose,major_purchase,0.153,47.2
purpose,other,-0.071,42.8
purpose,small_business,-0.504,34.1
verification_status,Not Verified,0.368,47.5
verification_status,Source Verified,-0.089,43.4
verification_status,Verified,-0.179,42.5
